,user_id_hashed,#business,#sports,#fun_facts,#international,#animals,#national,#health_n_fitness,#entertainment,#fashion,#automotive,#food,#technology,#travel,#games,#music,n/a
0,niYOpm83ijrk2sruQakSM35OR9m/D3sOb/yTXA==,"[0, 0]","[1.0, 1734.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 15591.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 51503.0]","[0, 0]","[0, 0]","[2.0, 52498.0]"
1,ESl7EqKqJ5M29llVl2ZkUBtqmn3R1FvMvloy2A==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 551.0]","[1.0, 1497.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 4684.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2,9+5YsPhHU5B0+tIKMMWgHnFGt0rvUeTNHZ9zRg==,"[5.0, 28992.5]","[30.0, 210399.0]","[1.0, 4335.0]","[10.0, 58307.5]","[0, 0]","[28.5, 84461.5]","[1.0, 1685.0]","[29.0, 592785.0]","[2.0, 11274.0]","[4.0, 65290.0]","[0, 0]","[9.5, 24608.5]","[3.0, 23984.0]","[0, 0]","[6.0, 17806.0]","[6.0, 17507.0]"
3,FJsZ9Ijulb/HEYMYMyBeAc+9huWHSUYTxPTO/w==,"[1.0, 329.0]","[10.0, 4988.0]","[1.0, 208.0]","[0, 0]","[0, 0]","[2.0, 1589.0]","[0, 0]","[6.0, 3066.0]","[0, 0]","[1.0, 514.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5.0, 2492.0]"
4,az4p03x5KjuSpObDhjeN98vC4GL0SsRZHHtSHw==,"[0, 0]","[1.0, 22634.0]","[0, 0]","[1.0, 33475.0]","[2.0, 104336.0]","[1.0, 20245.0]","[1.0, 29263.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 11479.0]","[0, 0]","[0, 0]","[1.0, 15195.0]","[0, 0]","[2.0, 12559.0]"
5,3xwy3dfPY8D4thEOX4zyEpdxJUs/AqbylYWqKQ==,"[0, 0]","[2.0, 2478.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
6,9V9mABr7uvExo/d4USf7JqjfhJotGIHmKNHt9w==,"[0, 0]","[0, 0]","[1.0, 80118.0]","[0, 0]","[5.0, 127106.0]","[6.0, 372222.0]","[0, 0]","[32.0, 1304743.0]","[12.0, 231330.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7.0, 374249.0]"
7,a46cJrYP1nLANubq4ivOf3ixD6xjLGIPtjzPXw==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1334.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1013.0]","[0, 0]","[1.0, 1001.0]","[1.0, 723.0]","[0, 0]","[2.0, 2149.0]"
8,Cg07nk0G1pfz74te+EBRGtHUv3X0Ct+LX+qQBg==,"[1.0, 1583.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 292.0]","[2.0, 1588.0]","[1.0, 870.0]","[0, 0]","[3.0, 9798.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4.0, 64215.0]"
9,pttGulLkJEul89MI2IxoajOm4hGnU7cyLYuTfw==,"[0, 0]","[0, 0]","[1.0, 1106.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 3174.0]","[0, 0]","[0, 0]"
